ID ,Researchers_Ratio,SAS_name
22,0.07,Beijing Shi
28,0.05,Tianjin Shi
10,0.04,Hebei Sheng
24,0.02,Shanxi Sheng
20,0.02,Nei Mongol Zizhiqu
19,0.04,Liaoning Sheng
5,0.02,Jilin Sheng
8,0.05,Heilongjiang Sheng
23,0.04,Shanghai Shi
4,0.06,Jiangsu Sheng
2,0.09,Zhejiang Sheng
1,0.06,Anhui Sheng
7,0.06,Fujian Sheng
3,0.03,Jiangxi Sheng
25,0.06,Shandong Sheng
9,0.02,Henan Sheng
12,0.07,Hubei Sheng
11,0.03,Hunan Sheng
30,0.04,Guangdong Sheng
16,0.02,Guangxi Zhuangzu Zizhiqu
31,0.1,Hainan Sheng
33,0.02,Chongqing Shi
32,0.03,Sichuan Sheng
18,0.13,Guizhou Sheng
29,0.06,Yunnan Sheng
14,0.06,Xizang Zizhiqu
26,0.06,Shaanxi Sheng
15,0.04,Gansu Sheng
6,0,Qinghai Sheng
21,0.17,Ningxia Huizu Zizhiqu
13,0.05,Xinjiang Uygur Zizhiqu
